City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,clonakilty,51.6231,-8.8706,1.56,73,100,3.66,IE,1678437478
337,apache junction,33.4151,-111.5496,13.82,49,0,2.57,US,1678437337
338,amahai,-3.3333,128.9167,27.88,81,86,1.88,ID,1678437480
339,tulsipur,28.131,82.2973,28.45,16,8,5.57,NP,1678437481
340,pahrump,36.2083,-115.9839,16.03,29,100,11.62,US,1678437482
341,bandarbeyla,9.4942,50.8122,27.85,66,0,4.93,SO,1678437085
342,taicheng,38.731,113.228,17.58,14,0,5.78,CN,1678437483
343,ipixuna,-1.7625,-48.8043,21.95,99,100,0.75,BR,1678437484
344,kaeo,-35.1,173.7833,18.51,89,10,3.66,NZ,1678437485
345,puerto ayacucho,5.6639,-67.6236,23.51,93,97,1.29,VE,1678437486
346,tieli,46.95,128.05,2.38,68,100,4.21,CN,1678437487
347,singapore,1.2897,103.8501,30.97,68,75,7.2,SG,1678437272
348,yar-sale,66.8333,70.8333,-4.51,94,98,5.6,RU,1678437488
349,muros,42.7762,-9.0603,15.61,87,83,6.39,ES,1678437469
350,te anau,-45.4167,167.7167,11.37,78,85,2.19,NZ,1678437490
351,toba,34.4833,136.85,15.0,57,7,6.03,JP,1678437490
352,victoria,22.2855,114.1577,26.03,57,0,1.34,HK,1678437491
353,arman,59.7,150.1667,-16.1,100,60,1.23,RU,1678437492
354,tautira,-17.7333,-149.15,27.26,82,81,7.69,PF,1678437493
355,stokmarknes,68.5646,14.9108,-5.01,58,20,3.09,NO,1678437494
356,rovaniemi,66.5,25.7167,-8.33,73,0,4.12,FI,1678437495
357,monopoli,40.9559,17.2896,20.13,70,95,6.52,IT,1678437495
358,luderitz,-26.6481,15.1594,22.71,48,0,5.78,NA,1678437496
359,kalangala,-0.3089,32.225,23.64,65,100,3.94,UG,1678437497
360,comodoro rivadavia,-45.8667,-67.5,15.92,44,0,8.75,AR,1678437498
